season,team,sp_overall,sp_off,sp_def
2017,Texas A&M,9.4,33.1,25.2
2017,Boise State,9.1,28.6,20.5
2017,Oregon,9.1,35.0,25.1
2017,Georgia Tech,8.9,34.9,25.1
2017,Washington State,8.6,30.9,22.1
2017,Memphis,7.8,37.6,30.6
2017,South Carolina,7.8,28.4,19.7
2017,Houston,7.7,32.3,25.8
2017,Iowa State,7.5,38.2,30.7
2017,Toledo,6.6,32.2,25.7
2017,Duke,6.1,25.5,19.2
2017,Pittsburgh,6.0,31.4,25.0
2017,Purdue,5.8,28.6,22.1
2017,West Virginia,5.6,33.6,27.2
2017,Florida Atlantic,5.1,34.7,31.3
2017,UCLA,4.9,39.3,34.5
2017,Texas Tech,4.8,34.4,28.3
2017,Boston College,4.6,25.2,19.9
2017,San Diego State,4.5,28.5,24.8
2017,North Carolina,4.3,29.3,25.9
2017,Syracuse,4.0,29.3,27.3
2017,Colorado State,3.9,34.6,32.7
2017,App State,3.8,29.5,24.8
2017,Arizona,3.7,38.1,33.9
2017,Ohio,3.3,32.2,30.6
2017,Kentucky,2.7,30.8,29.5
2017,Nebraska,2.5,25.6,23.7
2017,Arkansas,2.1,34.1,31.8
2017,Colorado,2.0,30.3,30.1
2017,Troy,1.6,27.5,23.5
2017,Arkansas State,1.5,29.3,28.6
2017,Tennessee,1.2,25.8,25.7
2017,Arizona State,1.0,33.9,33.1
2017,Virginia,0.8,25.0,23.3
2017,Vanderbilt,0.6,32.3,29.0
2017,Temple,0.5,25.1,24.1
2017,Minnesota,0.4,23.9,22.1
2017,Navy,-0.7,32.5,32.1
2017,California,-1.0,28.7,29.9
2017,Baylor,-1.4,26.9,29.0
2017,Northern Illinois,-1.4,21.0,20.5
2017,Miami (OH),-2.2,24.2,26.9
2017,Western Michigan,-2.4,25.7,28.4
2017,UTSA,-2.5,18.7,22.5
2017,Wyoming,-2.5,19.7,23.1
2017,Fresno State,-2.7,22.3,25.5
2017,SMU,-2.9,35.4,37.4
2017,Utah State,-3.3,24.4,28.0
2017,Southern Miss,-3.4,24.9,28.3
2017,Maryland,-4.5,26.7,28.3
2017,North Texas,-4.5,28.6,34.3
2017,Marshall,-4.5,19.4,23.9
2017,Western Kentucky,-4.9,25.5,30.0
